Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration (Days)
T001,2024-01-01,U101,The Alchemist,Fiction,7
T002,2024-01-02,U102,Harry Potter,Fantasy,10
T003,2024-01-03,U103,Atomic Habits,Self-help,8
T004,2024-01-04,U104,Python Basics,Education,12
T005,2024-01-05,U105,The Hobbit,Fantasy,9
T006,2024-01-06,U106,Deep Learning,Education,15
T007,2024-01-07,U107,The Alchemist,Fiction,6
T008,2024-01-08,U108,Harry Potter,Fantasy,14
T009,2024-01-09,U109,Atomic Habits,Self-help,7
T010,2024-01-10,U110,Python Basics,Education,11
T011,2024-01-11,U101,The Hobbit,Fantasy,13
T012,2024-01-12,U102,Deep Learning,Education,10
T013,2024-01-13,U103,The Alchemist,Fiction,9
T014,2024-01-14,U104,Harry Potter,Fantasy,12
T015,2024-01-15,U105,Atomic Habits,Self-help,8
T016,2024-01-16,U106,Python Basics,Education,14
T017,2024-01-17,U107,The Hobbit,Fantasy,10
T018,2024-01-18,U108,Deep Learning,Education,16
T019,2024-01-19,U109,The Alchemist,Fiction,7
T020,2024-01-20,U110,Harry Potter,Fantasy,12
T021,2024-01-21,U101,Atomic Habits,Self-help,9
T022,2024-01-22,U102,Python Basics,Education,11
T023,2024-01-23,U103,The Hobbit,Fantasy,13
T024,2024-01-24,U104,Deep Learning,Education,15
T025,2024-01-25,U105,The Alchemist,Fiction,8
T026,2024-01-26,U106,Harry Potter,Fantasy,10
T027,2024-01-27,U107,Atomic Habits,Self-help,6
T028,2024-01-28,U108,Python Basics,Education,14
T029,2024-01-29,U109,The Hobbit,Fantasy,12
T030,2024-01-30,U110,Deep Learning,Education,16
T031,2024-02-01,U101,The Alchemist,Fiction,7
T032,2024-02-02,U102,Harry Potter,Fantasy,11
T033,2024-02-03,U103,Atomic Habits,Self-help,9
T034,2024-02-04,U104,Python Basics,Education,13
T035,2024-02-05,U105,The Hobbit,Fantasy,10
T036,2024-02-06,U106,Deep Learning,Education,14
T037,2024-02-07,U107,The Alchemist,Fiction,8
T038,2024-02-08,U108,Harry Potter,Fantasy,12
T039,2024-02-09,U109,Atomic Habits,Self-help,7
T040,2024-02-10,U110,Python Basics,Education,11
T041,2024-02-11,U101,The Hobbit,Fantasy,13
T042,2024-02-12,U102,Deep Learning,Education,15
T043,2024-02-13,U103,The Alchemist,Fiction,6
T044,2024-02-14,U104,Harry Potter,Fantasy,14
T045,2024-02-15,U105,Atomic Habits,Self-help,8
T046,2024-02-16,U106,Python Basics,Education,12
T047,2024-02-17,U107,The Hobbit,Fantasy,9
T048,2024-02-18,U108,Deep Learning,Education,16
T049,2024-02-19,U109,The Alchemist,Fiction,7
T050,2024-02-20,U110,Harry Potter,Fantasy,10
T051,2024-02-21,U101,Atomic Habits,Self-help,8
T052,2024-02-22,U102,Python Basics,Education,13
T053,2024-02-23,U103,The Hobbit,Fantasy,11
T054,2024-02-24,U104,Deep Learning,Education,15
T055,2024-02-25,U105,The Alchemist,Fiction,9
T056,2024-02-26,U106,Harry Potter,Fantasy,12
T057,2024-02-27,U107,Atomic Habits,Self-help,7
T058,2024-02-28,U108,Python Basics,Education,14
T059,2024-03-01,U109,The Hobbit,Fantasy,10
T060,2024-03-02,U110,Deep Learning,Education,16
T061,2024-03-03,U101,The Alchemist,Fiction,8
T062,2024-03-04,U102,Harry Potter,Fantasy,13
T063,2024-03-05,U103,Atomic Habits,Self-help,9
T064,2024-03-06,U104,Python Basics,Education,12
T065,2024-03-07,U105,The Hobbit,Fantasy,10
T066,2024-03-08,U106,Deep Learning,Education,14
T067,2024-03-09,U107,The Alchemist,Fiction,7
T068,2024-03-10,U108,Harry Potter,Fantasy,11
T069,2024-03-11,U109,Atomic Habits,Self-help,8
T070,2024-03-12,U110,Python Basics,Education,13
T071,2024-03-13,U101,The Hobbit,Fantasy,12
T072,2024-03-14,U102,Deep Learning,Education,15
T073,2024-03-15,U103,The Alchemist,Fiction,6
T074,2024-03-16,U104,Harry Potter,Fantasy,14
T075,2024-03-17,U105,Atomic Habits,Self-help,9
T076,2024-03-18,U106,Python Basics,Education,11
T077,2024-03-19,U107,The Hobbit,Fantasy,13
T078,2024-03-20,U108,Deep Learning,Education,16
T079,2024-03-21,U109,The Alchemist,Fiction,8
T080,2024-03-22,U110,Harry Potter,Fantasy,12
T081,2024-03-23,U101,Atomic Habits,Self-help,7
T082,2024-03-24,U102,Python Basics,Education,14
T083,2024-03-25,U103,The Hobbit,Fantasy,10
T084,2024-03-26,U104,Deep Learning,Education,15
T085,2024-03-27,U105,The Alchemist,Fiction,9
T086,2024-03-28,U106,Harry Potter,Fantasy,11
T087,2024-03-29,U107,Atomic Habits,Self-help,8
T088,2024-03-30,U108,Python Basics,Education,13
T089,2024-03-31,U109,The Hobbit,Fantasy,12
T090,2024-04-01,U110,Deep Learning,Education,16
T091,2024-04-02,U101,The Alchemist,Fiction,7
T092,2024-04-03,U102,Harry Potter,Fantasy,10
T093,2024-04-04,U103,Atomic Habits,Self-help,9
T094,2024-04-05,U104,Python Basics,Education,13
T095,2024-04-06,U105,The Hobbit,Fantasy,11
T096,2024-04-07,U106,Deep Learning,Education,15
T097,2024-04-08,U107,The Alchemist,Fiction,8
T098,2024-04-09,U108,Harry Potter,Fantasy,12
T099,2024-04-10,U109,Atomic Habits,Self-help,7
T100,2024-04-11,U110,Python Basics,Education,14
